ID,H,B,T,C,R
362S137-33,3.625,1.375,0.0346,0.375,0.0765
350S162-68,3.5,1.625,0.0713,0.5,0.107
350S162-54,3.5,1.625,0.0566,0.5,0.0849
350S162-43,3.5,1.625,0.0451,0.5,0.0712
350S162-33,3.5,1.625,0.0346,0.5,0.0765
250S162-68,2.5,1.625,0.0713,0.5,0.107
250S162-54,2.5,1.625,0.0566,0.5,0.0849
250S162-43,2.5,1.625,0.0451,0.5,0.0712
250S162-33,2.5,1.625,0.0346,0.5,0.0765
250S137-68,2.5,1.375,0.0713,0.375,0.107
250S137-54,2.5,1.375,0.0566,0.375,0.0849
250S137-43,2.5,1.375,0.0451,0.375,0.0712
250S137-33,2.5,1.375,0.0346,0.375,0.0765
